sigma,rmse_raw,rmse_ukf
0.1,0.1005,0.0655
0.2,0.2019,0.1238
0.3,0.3055,0.1754
0.4,0.4039,0.2151
0.5,0.5051,0.2795
0.6,0.5970,0.3041
0.7,0.7054,0.3599
0.8,0.7846,0.3696
0.9,0.8897,0.4195
1.0,0.9774,0.4362
1.1,1.1013,0.5269
1.2,1.1978,0.5294
1.3,1.3134,0.5841
1.4,1.3927,0.6311
1.5,1.5210,0.6325
1.6,1.5891,0.7080
1.7,1.6826,0.7647
1.8,1.7853,0.7947
1.9,1.9207,0.8381
2.0,2.0353,0.8694
2.1,2.0881,0.9108
2.2,2.1797,0.8804
2.3,2.2924,1.0029
2.4,2.4100,1.0245
2.5,2.5330,0.9686
2.6,2.5822,1.0664
2.7,2.6966,1.0929
2.8,2.8145,1.0887
2.9,2.8842,1.1354
3.0,2.9769,1.0790
3.1,3.1285,1.2122
3.2,3.1222,1.3227
3.3,3.2315,1.2673
3.4,3.3745,1.4008
3.5,3.4618,1.3942
3.6,3.6676,1.4040
3.7,3.6630,1.3299
3.8,3.7473,1.4134
3.9,3.8618,1.4034
4.0,3.9111,1.4275
4.1,4.0986,1.6310
4.2,4.1680,1.4580
4.3,4.2966,1.7508
4.4,4.4028,1.7117
4.5,4.4715,1.5971
4.6,4.5813,1.6397
4.7,4.6752,1.9745
4.8,4.8000,1.8500
4.9,4.9561,1.7340
5.0,5.0338,1.8914
